Date,Product,Category,Region,Sales Channel,Customer Segment,Quantity Sold,Unit Price,Total Sales
2022-04-13,Laptop,Electronics,Europe,Wholesale,Small Business,40,1171.86,46874.399999999994
2023-03-12,Laptop,Accessories,Asia,Retail Store,Enterprise,24,1824.52,43788.479999999996
2024-05-10,Desktop,Accessories,Africa,Retail Store,Enterprise,11,2059.96,22659.56
2022-09-28,Smartwatch,Accessories,Asia,Marketplace,Consumer,66,383.26,25295.16
2022-04-17,Tablet,Accessories,Europe,Marketplace,Small Business,1,1779.28,1779.28
2022-03-13,Tablet,Computers,Asia,Marketplace,Enterprise,58,2303.61,133609.38
2023-12-02,Smartwatch,Electronics,Europe,Wholesale,Home Office,28,1462.11,40939.079999999994
2022-01-21,Desktop,Accessories,North America,Wholesale,Enterprise,68,506.0,34408.0
2023-09-07,Smartphone,Computers,South America,Direct Sales,Enterprise,94,361.01,33934.94
2022-05-02,Laptop,Accessories,Africa,Retail Store,Consumer,59,686.35,40494.65
2023-04-12,Desktop,Wearables,South America,Marketplace,Enterprise,71,303.61,21556.31
2022-08-03,Smartwatch,Accessories,South America,Retail Store,Home Office,22,1307.82,28772.039999999997
2022-11-27,Laptop,Accessories,South America,Online,Small Business,90,220.78,19870.2
2023-04-04,Tablet,Mobile,Europe,Wholesale,Corporate,29,597.34,17322.86
2022-03-29,Smartphone,Wearables,Europe,Direct Sales,Consumer,89,1127.78,100372.42
2023-01-08,Tablet,Electronics,Africa,Online,Home Office,74,1211.09,89620.65999999999
2022-04-10,Smartwatch,Accessories,Europe,Retail Store,Consumer,84,1435.23,120559.32
2024-05-21,Laptop,Electronics,Oceania,Wholesale,Small Business,78,1778.76,138743.28
2023-10-26,Smartwatch,Wearables,Europe,Marketplace,Enterprise,97,165.71,16073.87
2022-05-11,Laptop,Accessories,Europe,Online,Enterprise,69,247.52,17078.88
2023-10-24,Desktop,Mobile,Europe,Wholesale,Home Office,45,199.1,8959.5
2022-11-05,Smartphone,Computers,North America,Retail Store,Small Business,70,1086.72,76070.40000000001
2024-02-09,Desktop,Mobile,Africa,Retail Store,Corporate,86,152.53,13117.58
2022-12-10,Desktop,Mobile,Oceania,Online,Corporate,17,1877.9,31924.300000000003
2023-05-07,Smartwatch,Computers,Europe,Online,Enterprise,79,596.35,47111.65
2023-02-18,Smartphone,Computers,Africa,Online,Small Business,39,2351.07,91691.73000000001
2024-03-16,Laptop,Computers,Asia,Direct Sales,Small Business,40,1241.69,49667.600000000006
2023-01-21,Laptop,Accessories,North America,Marketplace,Home Office,28,1143.5,32018.0
2022-07-11,Tablet,Electronics,Europe,Wholesale,Corporate,2,1962.32,3924.64
2024-08-13,Laptop,Electronics,Oceania,Retail Store,Home Office,82,1797.23,147372.86000000002
2022-10-04,Smartwatch,Computers,North America,Retail Store,Consumer,27,1537.91,41523.57
2022-06-10,Desktop,Mobile,Oceania,Marketplace,Small Business,21,2341.11,49163.310000000005
2023-04-05,Desktop,Wearables,North America,Online,Corporate,87,1084.54,94354.98
2022-11-10,Desktop,Computers,Asia,Online,Home Office,7,2030.9,14216.300000000001
2022-01-22,Smartphone,Mobile,Africa,Retail Store,Enterprise,61,981.23,59855.03
2022-09-10,Laptop,Mobile,North America,Marketplace,Consumer,52,2103.95,109405.4
2024-01-18,Smartwatch,Accessories,South America,Retail Store,Home Office,48,685.71,32914.08
2024-05-06,Smartphone,Accessories,Asia,Online,Enterprise,19,758.7,14415.300000000001
2023-07-15,Tablet,Electronics,South America,Wholesale,Corporate,73,1710.78,124886.94
2023-04-20,Smartwatch,Electronics,Asia,Online,Corporate,12,571.15,6853.799999999999
2022-02-28,Smartwatch,Wearables,South America,Wholesale,Consumer,94,611.43,57474.42
